match_name,date,team,opponent,player_name,minutes,fg_made,fg_attempted,two_made,two_attempted,three_made,three_attempted,ft_made,ft_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,personal_fouls,fouls_drawn,plus_minus,efficiency,points,source_pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Ahmed Metwaly,27:18,5,13,0,1,5,12,2,2,0,4,4,0,4,1,0,3,2,0,10,17,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Mohab Abdalatif,18:37,2,4,2,4,0,0,0,0,1,1,2,1,0,1,0,1,0,-15,6,4,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Adam Moussa,15:47,1,7,1,3,0,4,0,0,0,3,3,3,0,2,0,2,0,1,4,2,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Anas Mahmoud,23:06,3,6,3,6,0,0,0,0,0,2,2,1,0,1,3,3,1,-19,10,6,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Patrick Gardner,20:18,2,10,2,5,0,5,1,2,3,1,4,2,1,0,0,0,1,1,1,5,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Khaled Abdelgawad,15:02,1,7,1,7,0,0,1,2,4,2,6,0,1,0,1,1,2,-13,2,3,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Omar Oraby,18:45,5,6,5,6,0,0,0,0,3,5,8,0,0,0,0,4,0,7,17,10,FIBA Box Score MLI vs EGY 26 February.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Naseef Lubowa,05:44,0,3,0,3,0,0,0,0,2,0,2,0,0,0,0,1,0,-15,-1,0,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Joel Rugette,30:49,1,11,1,9,0,2,3,4,2,0,2,3,2,3,0,1,4,-16,0,5,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Peter Obleng,07:42,0,1,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,-12,2,0,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Robinson Opong,24:01,4,5,1,1,3,4,0,0,0,0,0,1,2,0,0,2,1,-22,9,11,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Fayed Baale,14:08,1,5,1,3,0,2,0,0,1,2,3,1,0,0,0,0,0,-27,2,2,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Deng Geu,31:33,4,20,2,10,2,10,4,5,1,1,2,0,1,1,0,3,2,-28,-1,14,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Titus Odeke,09:05,1,3,0,0,1,3,0,0,0,1,1,0,0,0,0,3,0,-14,2,3,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Edgar Munaba,01:06,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Jonathan Komagum,26:39,0,5,0,4,0,1,2,4,0,6,6,0,1,0,1,3,2,-17,1,2,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Nike Sibande,34:22,5,11,5,9,0,2,1,2,3,6,9,3,3,2,0,3,5,-26,15,11,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,UGA,EGY,Joel Kayira,14:51,2,7,2,6,0,1,0,0,2,4,6,0,0,0,0,2,0,-18,5,4,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Ibrahim Zahran,20:43,0,1,0,0,0,1,0,0,0,1,1,4,0,0,2,2,0,23,6,0,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Ehab Amin,22:33,6,10,3,4,3,6,0,0,0,8,8,2,3,3,0,1,1,18,21,15,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Amr Abdelhalim,19:24,5,11,4,8,1,3,1,2,0,3,3,2,2,0,0,1,1,17,8,12,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Ahmed Metwaly,24:06,5,9,1,2,4,7,2,2,0,2,2,7,2,0,0,2,2,10,19,16,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Mohab Abdalatif,08:26,2,3,2,2,0,1,0,0,1,0,1,0,1,1,0,0,0,7,4,4,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Adam Moussa,14:48,2,5,2,5,0,0,2,2,0,5,5,5,0,1,0,0,1,29,14,6,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Anas Mahmoud,19:01,4,9,4,9,0,0,1,4,6,5,11,0,0,0,3,1,3,20,15,9,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Patrick Gardner,19:43,2,7,1,4,1,3,3,4,1,6,7,1,0,0,0,0,2,19,10,8,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Khaled Abdelgawad,10:44,3,7,3,6,0,1,1,2,5,4,9,0,1,0,0,1,2,5,10,7,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Ahmed Rehan,10:00,0,2,0,1,0,1,1,2,0,0,0,3,1,0,0,3,2,13,0,1,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Assem Marei,14:01,2,3,2,3,0,0,1,2,1,2,3,4,2,1,0,4,2,1,9,5,FIBA Box Score UGA vs EGY 01 March.pdf
UGA vs EGY - 01 Mar 2026,01 Mar 2026,EGY,UGA,Omar Oraby,16:31,3,6,3,5,0,1,2,2,5,4,9,0,1,0,2,0,2,33,15,8,FIBA Box Score UGA vs EGY 01 March.pdf
